
iyed,720p,240p,"(240p, 360p)","(verySatisfactory, verySatisfactory)",second,"(verySmooth, sometimesChoppy)",highQuality,,pc,2025-05-19T12:51:20.574Z
iyed,240p,144p,"(240p, 144p)","(verySatisfactory, verySatisfactory)",first,"(verySmooth, verySmooth)",fastLoading,,pc,2025-05-19T12:53:24.461Z
iyed,360p,480p,"(360p, 480p)","(verySatisfactory, verySatisfactory)",no_preference,"(verySmooth, sometimesChoppy)",fastLoading,,pc,2025-05-19T12:57:37.879Z
iyed,720p,1080p,"(240p, 720p)","(verySatisfactory, verySatisfactory)",second,"(verySmooth, verySmooth)",smoothness,,pc,2025-05-19T13:05:44.859Z
iyed,480p,144p,"(360p, 1080p)","(verySatisfactory, correct)",first,"(sometimesChoppy, veryChoppy)",lowDataUsage,,pc,2025-05-19T14:11:49.458Z
iyed,480p,144p,"(360p, 1080p)","(verySatisfactory, bad)",second,"(sometimesChoppy, veryChoppy)",lowDataUsage,,pc,2025-05-19T14:13:00.296Z
Lissa,240p,144p,"(360p, 480p)","(verySatisfactory, unwatchable)",no_preference,"(quiteSmooth, quiteSmooth)",,,pc,2025-05-19T16:16:56.297Z
Lissa,360p,480p,"(4k, 480p)","(verySatisfactory, notSatisfactory)",second,"(verySmooth, verySmooth)",soundQuality,,pc,2025-05-19T16:17:20.088Z
ikhalil,480p,360p,"(720p, 240p)","(verySatisfactory, notSatisfactory)",second,"(verySmooth, quiteSmooth)",fastLoading,,pc,2025-05-19T16:29:26.615Z
iyed,1080p,4k,"(240p, 360p)","(verySatisfactory, correct)",first,"(quiteSmooth, quiteSmooth)",smoothness,,mobile,2025-05-20T15:07:27.767Z
